Hue,Saturation,Value,Label
26.61111111111111,165.87777777777777,130.46666666666667,yellow
26.33125,166.0875,131.01875,yellow
25.58125,169.55,132.70625,yellow
25.69375,169.45,132.69375,yellow
25.56875,170.6125,132.51875,yellow
25.56875,170.6125,132.51875,yellow
25.275,170.7,127.5625,yellow
25.275,170.7,127.5625,yellow
25.08125,180.03125,131.175,yellow
24.95625,180.35625,131.70625,yellow
44.04375,124.925,76.475,yellow
44.04375,124.925,76.475,yellow
44.464285714285715,123.10714285714286,77.375,yellow
44.464285714285715,123.10714285714286,77.375,yellow
44.23125,124.7375,76.68125,yellow
44.23125,124.7375,76.68125,yellow
47.475,117.75,78.15625,yellow
47.475,117.75,78.15625,yellow
43.3875,121.45,83.64375,yellow
43.3875,121.45,83.64375,yellow
24.91875,167.35,132.7,yellow
42.19375,128.6,84.5,yellow
42.19375,128.6,84.5,yellow
25.7625,172.9875,93.43125,yellow
25.85625,173.6375,93.275,yellow
27.95625,169.45625,85.725,yellow
27.775,169.90625,86.13125,yellow
29.470238095238095,167.25595238095238,81.36309523809524,yellow
29.68125,169.11875,81.66875,yellow
38.0,115.20625,89.2375,yellow
38.0,115.20625,89.2375,yellow
34.857142857142854,116.7797619047619,123.23809523809524,yellow
36.46875,111.8,91.4375,yellow
36.46875,111.8,91.4375,yellow
38.5,122.2125,92.35625,yellow
38.5,122.2125,92.35625,yellow
29.803571428571427,166.74404761904762,79.70238095238095,yellow
29.78125,165.875,79.70625,yellow
35.96875,134.89375,82.99375,yellow
35.96875,134.89375,82.99375,yellow
34.825,131.3125,84.875,yellow
34.825,131.3125,84.875,yellow
34.89375,118.39375,123.69375,yellow
33.9,125.6375,88.15,yellow
33.9,125.6375,88.15,yellow
26.58125,156.85625,112.325,yellow
26.575,157.04375,112.68125,yellow
27.6,159.4625,107.875,yellow
27.6,159.4625,107.875,yellow
35.023809523809526,129.6547619047619,124.85119047619048,yellow
34.90625,130.39375,124.65,yellow
33.36309523809524,124.89285714285714,121.88095238095238,yellow
33.4875,125.9375,122.575,yellow
34.101190476190474,124.45833333333333,133.79761904761904,yellow
34.19375,124.95625,133.8375,yellow
34.708333333333336,112.35714285714286,133.01785714285714,yellow
34.54375,113.49375,133.2875,yellow
35.04761904761905,124.0,124.47619047619048,yellow
34.93125,126.0875,124.7375,yellow
27.36875,163.325,105.80625,yellow
27.1875,161.5125,105.83125,yellow
26.4125,167.71875,122.16875,yellow
26.40625,167.19375,122.275,yellow
26.725,165.1125,115.4,yellow
26.48125,164.53125,115.7,yellow
26.91875,161.3125,114.425,yellow
26.91875,161.3125,114.425,yellow
27.55625,158.6,113.6625,yellow
27.55625,158.6,113.6625,yellow
34.11309523809524,117.86309523809524,133.01785714285714,yellow
33.825,119.01875,133.05,yellow
35.00595238095238,116.14880952380952,131.38095238095238,yellow
35.0875,116.05,131.48125,yellow
27.875,167.2875,107.84375,yellow
27.875,167.2875,107.84375,yellow
24.20625,212.85,144.86875,yellow
24.25625,212.96875,144.4625,yellow
24.0875,213.7125,155.51875,yellow
23.98125,212.775,155.7375,yellow
23.3875,204.04375,163.70625,yellow
23.45,203.2875,163.55,yellow
22.7625,202.4625,170.4,yellow
22.90625,202.9625,170.275,yellow
23.4125,215.825,147.51875,yellow
23.41875,215.75625,147.65,yellow
26.8875,144.6375,190.88125,yellow
26.8875,144.6375,190.88125,yellow
26.398809523809526,141.05357142857142,192.16666666666666,yellow
26.410714285714285,140.67857142857142,192.16071428571428,yellow
26.775,147.00625,190.09375,yellow
26.775,147.00625,190.09375,yellow
26.767857142857142,147.0297619047619,187.24404761904762,yellow
26.767857142857142,147.0297619047619,187.24404761904762,yellow
25.64375,156.31875,189.40625,yellow
25.64375,156.31875,189.40625,yellow
25.30625,155.4875,189.38125,yellow
25.30625,155.4875,189.38125,yellow
26.1875,162.1125,186.4625,yellow
26.1875,162.1125,186.4625,yellow
25.61904761904762,159.25595238095238,186.36309523809524,yellow
25.61904761904762,159.25595238095238,186.36309523809524,yellow
23.28125,168.45,185.45625,yellow
23.28125,168.45,185.45625,yellow
23.65625,168.23125,183.775,yellow
23.65625,168.23125,183.775,yellow
23.33125,169.21875,187.98125,yellow
23.33125,169.21875,187.98125,yellow
23.775,214.50625,150.7,yellow
23.8,214.9375,150.5625,yellow
23.6875,214.91875,155.40625,yellow
23.75,216.21875,155.1875,yellow
23.1,209.05625,161.93125,yellow
23.325,209.71875,161.0875,yellow
42.86875,134.4125,85.34375,yellow
23.43125,188.80625,177.28125,yellow
23.43125,188.80625,177.28125,yellow
22.9125,180.0375,180.06875,yellow
22.9125,180.0375,180.06875,yellow
22.75625,176.04375,183.55625,yellow
22.75625,176.04375,183.55625,yellow
42.86875,134.4125,85.34375,yellow
39.45625,119.475,81.09375,yellow
39.45625,119.475,81.09375,yellow
26.4,172.4875,104.225,yellow
26.6875,173.43125,104.01875,yellow
26.816666666666666,172.32777777777778,101.71666666666667,yellow
26.95,174.14375,102.03125,yellow
26.95625,176.0,96.5625,yellow
26.7875,175.76875,97.29375,yellow
28.48125,168.11875,90.93125,yellow
28.2875,168.975,90.9875,yellow
79.95625,241.40625,70.2875,green
79.93125,241.9625,69.975,green
78.85625,219.69375,76.0125,green
78.76875,219.8875,76.7875,green
79.63125,191.19375,75.46875,green
79.9375,191.94375,75.425,green
78.925,249.6375,66.4625,green
78.66875,248.95,66.6375,green
